ID,A1, A2, A3, A4, A5, A6, A7, A8, A9, A11, A12, A13, A14, A15, H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, Sex, Age, Class, school every day?, share phone with family?, electricity at home?, parents rules phone?, Main purpose of phone use
31,2,4,4,1,1,1,2,4,2,1,4,2,2,2,1,2,2,4,1,4,2,4,1,1,2,2,1,7,7,7,5,,3,1,2,4,2,7,1,5,9,0,17,10,0,0,1,1,Music
32,3,2,1,4,1,3,1,2,4,3,4,1,1,2,4,2,4,1,1,3,1,4,2,1,2,,4,4,4,2,1,1,4,5,6,1,1,7,5,0,9,0,20,10,0,0,1,0,Communication
33,2,4,2,3,4,4,1,1,1,2,2,1,1,1,1,2,3,4,1,1,2,1,3,4,4,4,4,1,1,2,1,1,4,2,2,1,1,1,1,16,0,0,17,10,0,0,0,0,Music
34,2,4,1,1,4,4,2,2,4,3,3,4,1,2,4,1,4,1,3,4,2,1,4,4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,17,10,1,,0,,Other
35,4,2,4,2,4,1,2,3,4,1,1,2,1,4,4,2,4,1,1,,4,1,2,4,4,1,2,6,4,2,1,2,,4,1,1,5,2,2,2,0,,19,10,0,1,0,0,Games
36,4,2,1,4,3,2,4,4,4,4,2,4,4,3,1,3,4,4,1,4,4,3,3,,,4,2,5,5,3,5,7,5,3,2,4,3,6,7,2,0,1,18,10,0,0,0,0,Communication
37,4,3,4,3,3,1,2,4,4,3,4,1,2,3,2,2,4,4,2,4,2,2,2,4,3,2,4,7,4,3,6,7,6,4,5,4,5,4,6,8,0,1,17,10,0,1,0,0,School
38,4,4,2,4,4,4,1,4,4,3,1,2,3,2,1,2,3,3,1,4,2,1,2,2,3,3,3,5,5,5,5,5,,2,2,2,2,3,2,0,1,0,15,10,0,0,1,0,Music
39,4,1,2,4,1,2,1,1,1,1,1,1,1,1,1,4,4,1,1,4,1,4,1,1,4,1,1,5,5,2,5,6,7,3,4,2,3,4,6,3,0,0,14,10,0,1,0,0,Games
40,4,4,1,4,4,2,1,4,4,4,1,4,4,1,2,2,4,3,1,4,1,1,2,,4,3,1,2,5,2,6,6,7,7,5,3,4,4,6,0,2,1,17,10,0,0,0,0,Communication
41,4,3,3,4,4,3,2,3,2,4,4,3,4,2,4,1,4,4,2,1,2,3,4,4,4,2,2,6,2,3,3,3,3,3,3,4,4,4,2,2,0,1,17,10,0,0,0,1,Communication
42,1,2,2,4,4,3,2,4,2,3,1,2,2,1,1,3,2,4,1,4,2,1,4,3,3,1,1,,6,7,4,6,,3,4,5,2,3,4,1,0,1,20,10,0,0,0,0,Communication
43,4,2,1,4,2,1,4,4,4,2,1,1,1,4,4,2,2,3,2,4,2,1,2,2,4,2,2,4,2,2,4,,6,1,5,6,1,2,2,4,0,1,19,10,0,0,0,0,Communication
44,4,3,2,4,2,2,1,4,2,4,1,4,4,4,4,1,1,2,4,2,2,4,4,4,4,4,4,5,5,5,1,,2,3,3,2,1,5,2,6,0,1,19,10,0,0,0,1,"School, Communication, Music"
45,4,2,4,4,2,4,4,4,2,2,4,2,4,4,4,3,2,2,2,4,2,2,2,2,3,2,4,2,4,3,5,,3,5,6,5,5,5,2,8,0,1,18,10,0,0,1,0,Other
46,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,3,2,3,4,3,1,4,4,2,1,1,2,3,1,0,,17,10,0,0,1,0,Music
47,2,4,4,4,4,4,4,4,4,4,4,4,1,2,3,4,1,2,2,4,4,1,3,3,4,4,3,3,4,6,5,3,5,3,5,2,7,7,6,10,0,0,19,10,1,1,0,1,Other
48,4,4,1,,4,2,1,4,4,4,1,1,3,4,4,4,4,4,1,4,4,1,4,4,4,3,4,2,1,3,1,3,2,2,2,1,1,4,2,1,9,0,16,10,0,0,0,0,Communication
49,1,2,4,1,1,4,4,1,1,4,4,4,1,4,1,1,1,2,1,4,2,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,16,10,1,1,1,1,Other
50,2,3,1,4,4,4,42,1,3,4,1,4,1,4,4,2,4,4,1,3,2,4,4,1,4,3,4,6,7,6,6,3,6,6,5,7,4,6,7,2,0,0,15,10,1,1,0,0,Other
51,4,1,1,4,2,3,1,2,3,1,1,2,4,1,1,3,2,3,1,3,1,2,4,1,2,3,1,5,4,4,5,3,3,6,5,3,2,5,3,13,6,0,16,10,0,0,0,0,Social Media
52,4,2,3,4,3,4,1,4,1,1,4,4,4,1,1,4,1,1,1,4,1,2,4,4,4,1,1,3,7,5,3,1,7,5,4,2,1,6,2,1,0,0,17,10,0,0,0,1,Communication
53,4,2,3,4,1,4,3,3,4,1,1,2,3,2,3,2,2,3,3,2,2,4,3,2,4,2,2,4,6,6,2,2,1,2,4,4,2,6,5,0,5,1,17,10,0,0,1,0,Communication
54,4,1,1,2,1,1,2,3,1,1,1,2,3,1,1,2,3,3,2,4,1,4,4,3,4,1,1,4,6,4,6,2,3,3,1,1,2,5,1,2,4,1,17,10,0,0,0,0,Communication
55,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,16,10,1,1,1,1,Other
56,3,2,1,4,3,4,4,,2,3,1,3,2,3,4,1,3,4,2,4,1,3,4,3,4,2,3,3,2,2,,1,3,1,2,2,2,3,1,0,5,0,15,10,0,0,1,0,School
57,4,2,2,4,1,1,1,4,4,4,1,1,1,1,1,4,4,4,3,4,4,1,4,1,4,3,4,3,6,3,3,7,7,3,3,3,1,1,1,0,0,0,14,10,0,0,0,1,School
58,4,4,4,4,4,3,1,4,2,4,1,1,3,2,2,2,2,4,3,3,3,4,2,4,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,14,10,0,1,0,0,
59,4,1,2,4,2,1,1,1,2,4,2,3,3,3,2,3,2,4,1,4,2,4,4,3,4,2,2,5,2,2,4,4,5,2,5,2,2,2,2,1,3,0,16,10,0,1,0,1,Communication
60,3,1,2,3,1,3,1,4,1,3,1,1,1,3,2,2,1,3,1,3,4,2,3,3,1,1,3,2,1,2,1,2,5,1,3,1,1,4,2,14,0,1,14,10,0,0,1,0,Communication
61,4,4,3,4,4,3,2,4,3,3,1,4,4,4,1,3,3,4,1,4,4,4,3,4,4,4,3,2,3,3,1,2,1,3,4,4,6,2,1,0,0,1,17,10,0,1,0,0,Communication
62,4,4,4,4,4,4,4,4,4,4,4,,2,3,1,4,4,2,3,4,4,4,4,4,4,4,4,3,1,1,5,6,2,1,5,4,1,1,1,0,1,2,16,10,0,0,0,0,Communication
63,4,4,2,4,2,3,2,4,2,4,1,2,1,1,2,2,2,1,1,4,2,4,2,2,2,3,2,7,7,6,2,2,1,4,3,3,4,2,1,0,4,1,15,10,0,1,0,0,Other
64,4,2,3,4,2,4,1,2,4,2,1,2,2,2,3,2,3,2,1,4,2,4,3,1,4,2,2,4,3,6,1,3,2,2,2,3,6,7,1,1,6,1,13,10,0,0,0,0,Other
65,4,3,4,3,2,1,3,4,2,4,3,2,1,1,3,3,4,2,1,4,2,4,2,2,4,3,3,4,6,6,1,7,1,3,4,5,1,3,3,1,0,1,18,10,0,0,0,0,Music
66,4,4,4,4,4,4,2,1,4,4,1,4,4,4,4,1,4,1,1,4,4,1,4,1,1,4,1,7,6,7,7,4,4,4,4,4,2,4,5,3,0,1,17,10,0,0,0,1,Music
67,2,3,3,4,,2,3,4,4,,4,3,1,3,2,4,3,1,2,2,4,2,4,4,4,3,2,2,5,6,3,6,6,1,2,1,1,2,1,2,0,1,14,10,0,0,0,0,Other
