ID, A1, A2, A3, A4, A5, A6, A7, A8, A9, A11, A12, A13, A14, A15, H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14,Sex, Age,Class, school every day?, share phone with family?, electricity at home?, parents rules phone?, Main purpose of phone use
4,4,1,4,4,,1,2,2,4,2,,3,3,1,2,3,4,4,4,3,4,4,4,3,3,4,4,4,3,4,,6,2,,2,2,2,2,1,0,Female,16,10,0,0,1,0,School
4,4,1,4,4,4,4,1,4,1,1,1,1,1,1,2,2,4,1,4,1,4,4,1,4,1,1,4,,2,,3,4,4,,6,2,4,4,2,0,Female,15,10,0,0,0,0,Games
4,4,2,4,1,4,2,3,4,3,4,2,3,4,2,4,2,4,1,4,2,4,4,2,2,2,3,4,5,2,1,6,3,2,2,4,5,6,6,0,0,Female,17,10,0,0,0,0,School
3,4,4,4,2,4,4,4,2,1,4,3,1,2,1,4,2,,2,3,4,2,4,2,4,2,4,5,3,6,4,3,1,2,1,3,2,3,4,0,0,Female,17,10,0,1,0,0,Social Media
4,2,3,4,4,2,4,2,4,1,1,2,3,2,3,3,3,4,2,4,1,4,4,4,3,2,4,6,7,6,7,2,5,4,4,6,5,7,5,4,0,Female,17,10,0,0,0,0,Other
3,2,4,3,1,2,1,3,4,3,4,,1,2,4,2,3,1,4,3,1,1,3,3,4,2,3,2,3,3,3,2,1,2,1,5,1,3,5,15,0,Female,17,10,0,0,0,0,School
3,4,2,4,2,4,2,4,1,1,1,1,3,4,3,3,2,4,3,4,1,4,2,3,2,1,3,2,3,1,1,5,6,2,3,3,2,5,5,1,4,Female,17,10,0,0,0,0,School
4,2,3,4,4,3,4,1,2,,3,4,1,2,3,4,4,1,3,4,4,4,4,3,4,2,3,7,7,6,5,4,7,4,6,2,1,5,7,14,0,Female,15,10,0,1,0,0,Communication
4,2,4,1,4,1,4,1,3,2,4,3,3,4,4,4,4,4,1,2,1,4,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Male,14,10,0,,0,,
4,4,3,4,3,2,3,2,3,4,4,1,4,1,4,2,2,3,2,4,1,1,4,2,4,2,2,2,1,1,4,5,2,4,5,2,2,5,1,0,4,Male,15,10,0,0,0,0,Games
1,4,4,1,2,4,1,1,1,2,3,4,1,4,1,4,1,4,1,4,2,4,4,1,2,2,3,4,1,2,2,6,3,4,,5,2,1,3,1,4,Male,14,10,0,0,1,0,Games
3,3,3,3,4,4,2,3,4,3,2,2,3,2,2,2,1,4,4,2,2,4,4,2,3,2,4,1,2,7,1,7,1,2,1,2,1,1,7,0,2,Female,16,10,0,0,0,1,Music
3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,2,2,3,4,3,2,2,2,3,2,0,3,Male,13,10,0,0,1,0,Communication
4,2,1,4,3,3,2,3,1,3,1,,2,2,1,2,2,3,1,2,2,2,3,2,3,3,2,3,2,,2,3,4,,2,2,1,2,2,5,2,Male,16,10,0,1,0,0,School
2,4,2,4,3,1,1,4,2,4,1,3,4,4,2,4,4,2,1,4,2,4,4,3,2,,1,6,6,7,4,3,2,1,6,2,1,1,7,13,0,Male,14,10,0,0,0,0,School
1,2,1,4,1,1,4,4,4,1,1,4,4,4,1,4,1,4,1,4,4,4,4,1,4,4,4,6,2,2,7,7,,1,1,7,4,7,1,10,8,Male,16,10,0,1,1,1,Games
4,2,3,3,2,4,2,1,1,4,1,2,3,4,3,3,2,2,1,4,2,2,4,2,4,2,2,3,3,5,1,,5,4,4,3,1,4,6,15,8,Female,16,10,0,0,0,0,Music
4,3,2,4,2,3,4,2,3,3,1,4,1,1,2,1,3,3,1,2,3,4,3,2,3,2,2,4,5,6,4,5,,5,3,2,1,4,3,0,4,Male,15,10,0,1,0,0,"Communication, Games, Social Media, Music"
4,4,1,4,4,4,4,4,4,4,4,4,1,4,1,4,1,4,1,4,1,2,4,1,4,1,1,7,5,6,7,6,7,4,5,4,7,6,2,0,0,Male,17,10,0,0,0,0,Communication
4,1,2,4,,4,4,4,4,2,1,4,4,4,4,4,2,4,1,4,1,4,4,1,4,4,4,4,5,7,7,7,4,4,4,6,1,5,7,1,0,Female,15,10,0,0,0,0,School
2,4,4,1,1,1,2,4,2,1,4,2,2,2,1,2,2,4,1,4,2,4,1,1,2,2,1,7,7,7,5,,3,1,2,4,2,7,1,5,9,Male,17,10,0,0,1,1,Music
3,2,1,4,1,3,1,2,4,3,4,1,1,2,4,2,4,1,1,3,1,4,2,1,2,,4,4,4,2,1,1,4,5,6,1,1,7,5,0,9,Male,20,10,0,0,1,0,Communication
2,4,2,3,4,4,1,1,1,2,2,1,1,1,1,2,3,4,1,1,2,1,3,4,4,4,4,1,1,2,1,1,4,2,2,1,1,1,1,16,0,Male,17,10,0,0,0,0,Music
2,4,1,1,4,4,2,2,4,3,3,4,1,2,4,1,4,1,3,4,2,1,4,4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Male,17,10,1,,0,,Other
4,2,4,2,4,1,2,3,4,1,1,2,1,4,4,2,4,1,1,,4,1,2,4,4,1,2,6,4,2,1,2,,4,1,1,5,2,2,2,0,Male,19,10,0,1,0,0,Games
4,2,1,4,3,2,4,4,4,4,2,4,4,3,1,3,4,4,1,4,4,3,3,,,4,2,5,5,3,5,7,5,3,2,4,3,6,7,2,0,Female,18,10,0,0,0,0,Communication
4,3,4,3,3,1,2,4,4,3,4,1,2,3,2,2,4,4,2,4,2,2,2,4,3,2,4,7,4,3,6,7,6,4,5,4,5,4,6,8,0,Female,17,10,0,1,0,0,School
4,4,2,4,4,4,1,4,4,3,1,2,3,2,1,2,3,3,1,4,2,1,2,2,3,3,3,5,5,5,5,5,,2,2,2,2,3,2,0,1,Male,15,10,0,0,1,0,Music
4,1,2,4,1,2,1,1,1,1,1,1,1,1,1,4,4,1,1,4,1,4,1,1,4,1,1,5,5,2,5,6,7,3,4,2,3,4,6,3,0,Male,14,10,0,1,0,0,Games
4,4,1,4,4,2,1,4,4,4,1,4,4,1,2,2,4,3,1,4,1,1,2,,4,3,1,2,5,2,6,6,7,7,5,3,4,4,6,0,2,Female,17,10,0,0,0,0,Communication
4,3,3,4,4,3,2,3,2,4,4,3,4,2,4,1,4,4,2,1,2,3,4,4,4,2,2,6,2,3,3,3,3,3,3,4,4,4,2,2,0,Female,17,10,0,0,0,1,Communication
1,2,2,4,4,3,2,4,2,3,1,2,2,1,1,3,2,4,1,4,2,1,4,3,3,1,1,,6,7,4,6,,3,4,5,2,3,4,1,0,Female,20,10,0,0,0,0,Communication
